"school","pdf"
"Harvard","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Harvard_609971.pdf"
"Haugan","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Haugan_609972.pdf"
"Hay","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Hay_609975.pdf"
"Hayt","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_hayt_609976.pdf"
"Healy","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_healy_609979.pdf"
"Hearst","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Hearst_609981.pdf"
"Hedges","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_hedges_609983.pdf"
"Hefferan","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Hefferan_609985.pdf"
"Henry","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Henry_609988.pdf"
"Hibbard","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/IndividualSchool_Hibbard_609994.pdf"
"Hughes, C","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_HughesC_610005.pdf"
"Hurley","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/IndividualSchool_Hurley_610006.pdf"
"Inter-American","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Interamerican_610078.pdf"
"Jackson, M","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Jackson_610369.pdf"
"Jahn","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Jahn_610010.pdf"
"Jamieson","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Jamieson_610011.pdf"
"Johnson","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Johnson_ 610274.pdf"
"Jungman","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Jungman_610015.pdf"
"Kellman","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_kellman_609925.pdf"
"Kershaw","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/IndividualSchool_Kershaw_610019.pdf"
